<<Sentinel>> <<6:167-175>> <<type>> <<CLASS>> <<ANCHOR>>
<<__init__>> <<8:196-204>> <<function>> <<CONSTRUCTOR>> <<ANCHOR>>
<<__repr__>> <<15:372-380>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<8:205-208>> <<Sentinel>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<8:211-214>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<module>> <<8:217-220>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<docstring>> <<8:225-228>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<9:256-260>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<module>> <<10:282-288>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<__doc__>> <<12:339-346>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<15:381-384>> <<Sentinel>> <<PARAMETER>> <<ANCHOR>>
<<name>> <<9:263-267>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<9:251-255>> <<Sentinel>> <<VARIABLE>> <<LINK>>
<<module>> <<10:291-297>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<10:277-281>> <<Sentinel>> <<VARIABLE>> <<LINK>>
<<docstring>> <<11:310-319>> <<?>> <<VARIABLE>> <<LINK>>
<<docstring>> <<12:349-358>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<12:334-338>> <<Sentinel>> <<VARIABLE>> <<LINK>>
<<self>> <<16:408-412>> <<Sentinel>> <<VARIABLE>> <<LINK>>
<<module>> <<16:413-419>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<16:425-429>> <<Sentinel>> <<VARIABLE>> <<LINK>>
<<name>> <<16:430-434>> <<?>> <<VARIABLE>> <<LINK>>
